id,name,value_id,value_name,value_struct,values,value_type,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,catalog_product_id
MLA1981233514,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Apple Tv 4k Wi-fi (tercera Generación) 128 Gb Ethernet,2150532932,MLA352001,,267141.48,267141.48,,ARS,25,MLA21015901
MLA1981233514,Tiempo de garantía,,1 años,"{'number': 1, 'unit': 'años'}","[{'id': None, 'name': '1 años', 'struct': {'number': 1, 'unit': 'años'}}]",number_unit,MLA,Apple Tv 4k Wi-fi (tercera Generación) 128 Gb Ethernet,2150532932,MLA352001,,267141.48,267141.48,,ARS,25,MLA21015901
MLA1981233514,Cantidad máxima de compra,,3,,"[{'id': None, 'name': '3', 'struct': None}]",number,MLA,Apple Tv 4k Wi-fi (tercera Generación) 128 Gb Ethernet,2150532932,MLA352001,,267141.48,267141.48,,ARS,25,MLA21015901
MLA1399215544,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Negro,208137579,MLA352001,86184,477099.0,477099.0,,ARS,4,MLA21459430
MLA1399215544,Tiempo de garantía,,1 años,"{'number': 1, 'unit': 'años'}","[{'id': None, 'name': '1 años', 'struct': {'number': 1, 'unit': 'años'}}]",number_unit,MLA, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Negro,208137579,MLA352001,86184,477099.0,477099.0,,ARS,4,MLA21459430
MLA1399215544,Facturación,6891885,Factura A,,"[{'id': '6891885', 'name': 'Factura A', 'struct': None}]",list,MLA, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Negro,208137579,MLA352001,86184,477099.0,477099.0,,ARS,4,MLA21459430
MLA1426291701,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Apple Tv 4k 64gb Modelo A2169. Soporte Y Funda De Regalo,44820200,MLA352001,,567000.0,567000.0,,ARS,1,
MLA1426291701,Tiempo de garantía,,12 meses,"{'number': 12, 'unit': 'meses'}","[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]",number_unit,MLA,Apple Tv 4k 64gb Modelo A2169. Soporte Y Funda De Regalo,44820200,MLA352001,,567000.0,567000.0,,ARS,1,
MLA1904940598,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 4k 64 Gb Negro Con Memoria Ram De 3 Gb A1842,1010179756,MLA352001,,220000.0,220000.0,,ARS,1,MLA22513404
MLA2013720360,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,"Apple Tv Modelo A1427 Con Control ,hdmi Y Cable Alimentación Negro Estándar",57316981,MLA352001,,39999.0,39999.0,,ARS,1,MLA6253546
MLA1448806077,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,"Apple Tv A1469 3.a Gen. Full Hd 8gb, 1gb Ram,estado Impoluto",83924255,MLA352001,,48900.0,48900.0,,ARS,1,MLA25362236
MLA1984892006,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv (3era Generación) Modelo A1427,11191172,MLA352001,,60000.0,60000.0,,ARS,1,
MLA2030681232,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1625 De Voz 4.a Gen 2015 Full Hd 32gb,1570469,MLA352001,,189000.0,189000.0,,ARS,1,MLA6253543
MLA1447987851,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1427 Estándar 3.a Generación Fhd,16775872,MLA352001,,70000.0,70000.0,,ARS,1,MLA6253545
MLA2007226274,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1378 Estándar 2.a Generación,403002713,MLA352001,,24989.0,24989.0,,ARS,1,MLA6253547
MLA1475974383,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 4k 32 Gb,151832369,MLA352001,,35000.0,35000.0,,ARS,1,MLA22513404
MLA2030554468,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1625 Soporte Pared 1080p Youtube Netflix Disney+,66335855,MLA352001,,172000.0,172000.0,,ARS,1,MLA6253543
MLA2031705816,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A 1469 (usado),216753014,MLA352001,,70000.0,70000.0,,ARS,1,
